Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,7846000000.0,9015000000.0,10280000000.0,11955000000.0,12537000000.0,13684000000.0,14960000000.0,18670000000.0,20654000000.0,23840000000.0,33672000000.0,34939000000.0,40287000000.0,46977000000.0,58221000000.0,70487000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,BRB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,BRN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,BTN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,BWA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,CAF,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,CAN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,8484000000.0,8946000000.0,9458000000.0,9887000000.0,9764000000.0,10577000000.0,11016000000.0,11445000000.0,10974000000.0,14513000000.0,19398000000.0,20986000000.0,22329000000.0,29337000000.0,37211000000.0,42037000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Europe and the Baltics,CEB,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,905000000.0,1297000000.0,1343000000.0,1581000000.0,2868000000.0,4439000000.0,5338000000.0,7175000000.0,9821000000.0,13144000000.0,17652000000.0,24948000000.0,32995000000.0,37275000000.0,45620000000.0,51691000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,857000000.0,899000000.0,936000000.0,971000000.0,1003000000.0,1054000000.0,1182000000.0,1229000000.0,1289000000.0,1310000000.0,1410000000.0,1628000000.0,1926000000.0,2217000000.0,2634000000.0,2853000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Channel Islands,CHI,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
