Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
East Asia & Pacific,EAS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.25,6.37,6.52,6.28,6.16,6.25,6.1,5.94,5.9,5.84,5.82,5.7,5.61,5.61,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia (excluding high income),ECA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.72,13.99,14.1,13.76,13.12,12.78,12.0,11.62,11.54,11.76,11.13,10.94,11.02,11.25,10.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Europe & Central Asia,ECS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.21,9.21,9.02,8.98,8.81,8.64,8.27,8.17,8.18,8.24,7.99,7.9,8.04,8.15,8.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,ECU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,24.13,24.6,24.35,26.23,25.48,26.8,24.99,21.82,19.23,18.0,16.86,16.3,14.5,12.95,12.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",EGY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.76,13.09,12.65,11.3,12.16,11.6,10.89,10.48,9.95,9.6,10.16,8.47,11.12,11.14,10.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Euro area,EMU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.4,6.25,5.88,6.03,5.99,6.16,5.86,5.91,6.0,5.94,5.86,5.74,5.97,6.13,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eritrea,ERI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,18.1,16.74,16.6,15.88,16.96,15.97,13.75,14.93,15.68,11.86,12.54,14.84,15.88,13.78,12.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,ESP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.72,7.71,8.02,8.75,8.7,8.97,8.5,8.44,8.3,8.38,9.18,8.93,8.73,9.48,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia,EST,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.58,16.08,14.79,11.73,10.79,10.81,11.07,11.11,10.68,10.09,8.08,7.36,7.35,6.8,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,ETH,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.98,9.99,9.98,10.02,10.0,10.02,10.0,10.01,10.01,9.99,15.0,20.0,22.92,19.02,18.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European Union,EUU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,7.07,6.92,6.62,6.6,6.52,6.64,6.34,6.39,6.42,6.42,6.28,6.11,6.29,6.37,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fragile and conflict affected situations,FCS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,21.49,21.62,20.99,20.54,20.48,22.19,21.82,22.49,24.88,25.96,21.54,21.29,24.13,25.02,32.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
