Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Caribbean small states,CSS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,CUB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,57.06,56.72,33.87,29.08,29.42,36.84,45.34,40.93,44.13,38.6,39.53,44.47,45.08,48.34,45.94,45.97,0.0,0.0,0.0,0.0,0.0,0.0
Curacao,CUW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,CYM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,CYP,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,100.0,100.0,100.0,100.0,100.0,99.98,99.98,99.94,99.7,99.41,98.63,96.39,94.55,92.38,92.71,91.22,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,CZE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.51,0.52,0.51,0.44,0.42,0.4,0.31,0.13,0.16,0.19,0.23,0.2,0.13,0.09,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
Germany,DEU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.84,0.82,0.74,1.71,1.76,1.95,1.73,1.58,1.53,1.71,1.4,1.18,1.22,1.14,0.91,0.97,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,DJI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,DMA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,DNK,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1.94,2.32,3.68,4.62,4.05,3.79,3.55,3.28,3.06,3.22,1.99,1.29,1.31,1.01,0.98,1.08,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,DOM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,90.85,91.07,86.91,71.44,67.93,65.66,63.52,60.32,61.65,58.75,54.79,54.61,50.06,49.53,50.05,53.48,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,DZA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.04,2.91,2.16,2.32,2.2,2.11,2.13,2.13,1.97,1.58,2.11,2.08,1.85,1.51,0.99,1.32,0.0,0.0,0.0,0.0,0.0,0.0
East Asia & Pacific (excluding high income),EAP,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,5.52,4.94,4.79,4.29,4.63,3.7,2.84,2.14,1.83,1.4,1.36,1.35,0.97,0.81,0.74,0.6,0.0,0.0,0.0,0.0,0.0,0.0
